timestamp,open,high,low,close
2009-03-04,209.1,214.22,209.09,214.06
2009-03-05,211.5,212.94,209.03,209.88
2009-03-06,211.65,212.98,210.22,212.1
2009-03-09,211.04,213.61,209.5,210.1
2009-03-10,211.25,213.69,209.55,209.96
2009-03-11,209.74,210.58,205.53,205.8
2009-03-12,206.08,212.97,205.4,212.67
2009-03-13,214.74,215.79,211.57,212.33
2009-03-16,211.48,216.11,210.64,215.24
2009-03-17,215.28,217.42,214.2,217
2009-03-18,216.75,216.89,211.95,213.37
2009-03-19,222.21,227.58,221.64,225.44
2009-03-20,225.63,227.35,224.44,226.1
2009-03-23,228.55,229.97,227.15,228.9
2009-03-24,226.91,227.64,225.26,227.38
2009-03-25,224.39,227.08,223.6,225.35
2009-03-26,228.02,229.61,225.27,226.31
2009-03-27,222.91,223.41,220.46,220.85
2009-03-30,217.54,218.41,214.22,214.78
2009-03-31,217.82,220.34,214.73,220.05
2009-04-01,217.7,218,215.65,217.86
2009-04-02,222.07,225.42,222.06,225.09
2009-04-03,224.72,227.94,223.5,227.86
2009-04-06,227.53,227.65,222.31,224.12
2009-04-07,223.29,224.24,221.63,221.89
2009-04-08,219.89,225.56,219.86,223.24
2009-04-09,225.68,227.72,225.51,226.75
2009-04-13,226.81,228.31,224.25,226.83
2009-04-14,227.75,228.92,225.57,227.22
2009-04-15,228.04,228.86,226.38,228.05
2009-04-16,227.26,228.63,226.27,227.06
2009-04-17,226.54,228.26,226.53,227.67
2009-04-20,223.15,223.73,219.42,219.77
2009-04-21,218.9,221.25,216.19,220.07
2009-04-22,219.53,220.83,218.6,220.51
2009-04-23,221.36,221.48,218.83,219.97
2009-04-24,220.56,223.08,220.46,222.58
2009-04-27,216.56,219.88,214.67,217.71
2009-04-28,215.03,216.34,214.15,215.49
2009-04-29,217.92,220.72,217.48,220.26
2009-04-30,221.67,221.75,219.17,221.66
2009-05-01,222.43,229.17,222.33,228.8
2009-05-04,229.43,232.1,228.84,232.02
2009-05-05,231.74,232.88,229.76,231.06
2009-05-06,232.2,237.54,232.19,237.52
2009-05-07,240.7,241.82,237.16,239.25
2009-05-08,241.17,242.33,239.05,242.25
2009-05-11,238.61,241.45,238.04,241.27
2009-05-12,244.83,245.87,240.97,243.01
2009-05-13,242.45,243.2,239.19,240
2009-05-14,237,241.37,236.28,240.99
2009-05-15,238.68,240.5,235.49,235.96
2009-05-18,236.48,240.68,236.23,240.29
2009-05-19,242.25,242.86,239.06,240.32
2009-05-20,241.15,244.79,240.5,243.24
2009-05-21,239.86,240.33,237.08,239.58
2009-05-22,242.16,242.66,240.25,241.9
2009-05-26,238.34,243.49,237.39,243.29
2009-05-27,243.62,244.36,242.07,243.5
2009-05-28,242.83,247.64,242.5,246.85
2009-05-29,250.27,251.19,249.03,250.49
2009-06-01,254.7,259.06,254.36,258.95
2009-06-02,258.1,258.48,256.23,257.63
2009-06-03,255.23,255.51,247.39,249.03
2009-06-04,249.88,257.46,249.66,256.65
2009-06-05,256.94,259.16,252.57,254.77
2009-06-08,251.94,254.14,251.37,252.21
2009-06-09,255.39,257.42,254.53,257.13
2009-06-10,259.52,259.55,256.25,257.25
2009-06-11,259.44,263.84,258.29,262.9
2009-06-12,259.38,260.22,257.42,258.44
2009-06-15,254.18,255.95,251.55,252.71
2009-06-16,256.66,257.32,251.18,252.02
2009-06-17,249.94,253.89,249.42,253.57
2009-06-18,252.58,254.32,251.78,253.17
2009-06-19,254.69,255.12,249.6,250.11
2009-06-22,246.28,246.28,241.46,242.56
2009-06-23,244.22,246.73,242.47,246.26
2009-06-24,246.71,249.25,246.44,247.32
2009-06-25,248.12,251.09,234.16,250.34
2009-06-26,251.03,251.47,247.24,248.49
2009-06-29,249.68,251.11,249.28,250.31
2009-06-30,251.23,251.75,242.66,245.72
2009-07-01,248.22,250.98,246.66,247.85
2009-07-02,244.78,245.03,241.85,242.68
2009-07-06,235.11,238.38,234.77,236.85
2009-07-07,239.12,239.12,232.6,233.13
2009-07-08,231.52,231.59,226.7,227.09
2009-07-09,229.82,231.05,227.41,230.23
